"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 17 09:24:31 UTC 2026","Mon Aug 17 09:24:31 UTC 2026","424","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking Cancel on the confirm reports Cancel",""
"passed","Mon Aug 17 09:24:33 UTC 2026","Mon Aug 17 09:24:33 UTC 2026","370","chromium","security/redirector.security.spec.ts","Redirect Link (/redirector)","","","redirect link points to a relative, same-origin target",""
"passed","Mon Aug 17 09:24:19 UTC 2026","Mon Aug 17 09:24:20 UTC 2026","894","chromium","features/ab-test.spec.ts","A/B Testing","","","serves one of the two known heading variants",""
"passed","Mon Aug 17 09:24:33 UTC 2026","Mon Aug 17 09:24:33 UTC 2026","177","chromium","security/headers.security.spec.ts","response security headers (/login)","","","sends clickjacking and MIME-sniffing protections",""
"passed","Mon Aug 17 09:24:32 UTC 2026","Mon Aug 17 09:24:32 UTC 2026","334","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Mon Aug 17 09:24:22 UTC 2026","Mon Aug 17 09:24:23 UTC 2026","478","chromium","features/dropdown.spec.ts","Dropdown","","","starts with the disabled placeholder option selected",""
"passed","Mon Aug 17 09:24:30 UTC 2026","Mon Aug 17 09:24:31 UTC 2026","363","chromium","features/inputs.spec.ts","Inputs","","","accepts numeric entry",""
"passed","Mon Aug 17 09:24:30 UTC 2026","Mon Aug 17 09:24:31 UTC 2026","436","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the left arrow after increasing decreases the value again",""
"passed","Mon Aug 17 09:24:32 UTC 2026","Mon Aug 17 09:24:33 UTC 2026","181","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","rejects a wrong password with a generic 401",""
"passed","Mon Aug 17 09:24:33 UTC 2026","Mon Aug 17 09:24:34 UTC 2026","513","chromium","security/xss-reflection.security.spec.ts","reflected XSS probe on login form","","","encodes """"><svg onload=alert(1)>"" instead of executing it",""
"passed","Mon Aug 17 09:24:20 UTC 2026","Mon Aug 17 09:24:21 UTC 2026","702","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","removes one Delete button per click, leaving the rest",""
"passed","Mon Aug 17 09:24:23 UTC 2026","Mon Aug 17 09:24:23 UTC 2026","516","chromium","features/dropdown.spec.ts","Dropdown","","","selecting Option 1 updates the selected value",""
