"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 18:59:56 UTC 2026","Tue Jun 23 19:00:00 UTC 2026","4312","chromium","accessibility/login.a11y.spec.ts","login flow accessibility","","","secure page has no new accessibility violations (axe-core)",""
"passed","Tue Jun 23 19:00:04 UTC 2026","Tue Jun 23 19:00:12 UTC 2026","7551","chromium","features/dynamic-controls.spec.ts","Dynamic Controls","","","Enable button enables the input, Disable disables it again",""
"passed","Tue Jun 23 18:59:56 UTC 2026","Tue Jun 23 19:00:07 UTC 2026","11263","chromium","accessibility/login.a11y.spec.ts","login flow accessibility","","","login page meets accessibility threshold (Lighthouse)",""
"passed","Tue Jun 23 19:00:04 UTC 2026","Tue Jun 23 19:00:05 UTC 2026","870","chromium","features/dropdown.spec.ts","Dropdown","","","selecting Option 2 updates the selected value",""
"passed","Tue Jun 23 19:00:07 UTC 2026","Tue Jun 23 19:00:13 UTC 2026","6290","chromium","features/dynamic-loading.spec.ts","Dynamic Loading","","","Example 2: element is rendered from nothing after the delay",""
"passed","Tue Jun 23 19:00:12 UTC 2026","Tue Jun 23 19:00:13 UTC 2026","948","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the right arrow repeatedly moves toward the max value",""
"passed","Tue Jun 23 18:59:59 UTC 2026","Tue Jun 23 19:00:00 UTC 2026","963","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","starts with no Delete buttons",""
"passed","Tue Jun 23 19:00:01 UTC 2026","Tue Jun 23 19:00:02 UTC 2026","432","chromium","features/basic-auth.spec.ts","Basic Auth","","","is rejected with the wrong password",""
"passed","Tue Jun 23 18:59:56 UTC 2026","Tue Jun 23 18:59:59 UTC 2026","3659","chromium","features/ab-test.spec.ts","A/B Testing","","","serves one of the two known heading variants",""
"passed","Tue Jun 23 19:00:16 UTC 2026","Tue Jun 23 19:00:17 UTC 2026","381","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","rejects an unknown username with the same generic 401 (no enumeration)",""
"passed","Tue Jun 23 19:00:12 UTC 2026","Tue Jun 23 19:00:13 UTC 2026","943","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","starts at 0",""
"passed","Tue Jun 23 18:59:59 UTC 2026","Tue Jun 23 19:00:00 UTC 2026","1061","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","adds one Delete button per click of Add Element",""
"passed","Tue Jun 23 19:00:14 UTC 2026","Tue Jun 23 19:00:15 UTC 2026","916","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking Cancel on the confirm reports Cancel",""
"passed","Tue Jun 23 19:00:17 UTC 2026","Tue Jun 23 19:00:18 UTC 2026","1159","chromium","security/xss-reflection.security.spec.ts","reflected XSS probe on login form","","","encodes ""<script>alert(1)</script>"" instead of executing it",""
"passed","Tue Jun 23 19:00:13 UTC 2026","Tue Jun 23 19:00:13 UTC 2026","942","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the left arrow after increasing decreases the value again",""
"passed","Tue Jun 23 19:00:17 UTC 2026","Tue Jun 23 19:00:17 UTC 2026","147","chromium","security/transport-and-error-pages.security.spec.ts","transport security","","","plain HTTP is served directly instead of being redirected to HTTPS",""
"passed","Tue Jun 23 19:00:14 UTC 2026","Tue Jun 23 19:00:15 UTC 2026","948","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","dismissing the prompt reports a null entry",""
"passed","Tue Jun 23 19:00:16 UTC 2026","Tue Jun 23 19:00:17 UTC 2026","1178","chromium","login.spec.ts","","","","shows an error with invalid credentials",""
"passed","Tue Jun 23 18:59:56 UTC 2026","Tue Jun 23 18:59:59 UTC 2026","3574","chromium","features/ab-test.spec.ts","A/B Testing","","","renders the explanatory paragraph regardless of variant",""
"passed","Tue Jun 23 19:00:12 UTC 2026","Tue Jun 23 19:00:13 UTC 2026","892","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the right arrow increases the displayed value by one step",""
"passed","Tue Jun 23 19:00:13 UTC 2026","Tue Jun 23 19:00:14 UTC 2026","961","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking OK on the confirm reports Ok",""
"passed","Tue Jun 23 19:00:17 UTC 2026","Tue Jun 23 19:00:18 UTC 2026","853","chromium","security/redirector.security.spec.ts","Redirect Link (/redirector)","","","redirect link points to a relative, same-origin target",""
"passed","Tue Jun 23 19:00:17 UTC 2026","Tue Jun 23 19:00:17 UTC 2026","341","chromium","security/headers.security.spec.ts","response security headers (/login)","","","sends clickjacking and MIME-sniffing protections",""
"passed","Tue Jun 23 19:00:04 UTC 2026","Tue Jun 23 19:00:12 UTC 2026","7557","chromium","features/dynamic-controls.spec.ts","Dynamic Controls","","","Remove button removes the checkbox, Add brings it back",""
"passed","Tue Jun 23 19:00:00 UTC 2026","Tue Jun 23 19:00:01 UTC 2026","1068","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","removing the last Delete button returns to the empty state",""
"passed","Tue Jun 23 19:00:03 UTC 2026","Tue Jun 23 19:00:04 UTC 2026","922","chromium","features/checkboxes.spec.ts","Checkboxes","","","toggling checkbox 1 checks it",""
"passed","Tue Jun 23 19:00:15 UTC 2026","Tue Jun 23 19:00:16 UTC 2026","908","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Tue Jun 23 19:00:16 UTC 2026","Tue Jun 23 19:00:17 UTC 2026","937","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","grants access with correct credentials",""
"passed","Tue Jun 23 19:00:05 UTC 2026","Tue Jun 23 19:00:11 UTC 2026","6240","chromium","features/dynamic-loading.spec.ts","Dynamic Loading","","","Example 1: hidden element is shown after the delay",""
"passed","Tue Jun 23 19:00:11 UTC 2026","Tue Jun 23 19:00:12 UTC 2026","1098","chromium","features/forgot-password.spec.ts","Forgot Password","","","submitting the form currently returns a 500 (known server-side bug)",""
"passed","Tue Jun 23 19:00:01 UTC 2026","Tue Jun 23 19:00:02 UTC 2026","306","chromium","features/basic-auth.spec.ts","Basic Auth","","","is rejected with no credentials",""
"passed","Tue Jun 23 19:00:14 UTC 2026","Tue Jun 23 19:00:15 UTC 2026","882","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Tue Jun 23 19:00:01 UTC 2026","Tue Jun 23 19:00:02 UTC 2026","845","chromium","features/broken-images.spec.ts","Broken Images","","","renders exactly three images in the example section",""
"passed","Tue Jun 23 19:00:03 UTC 2026","Tue Jun 23 19:00:04 UTC 2026","999","chromium","features/checkboxes.spec.ts","Checkboxes","","","toggling checkbox 2 unchecks it",""
"passed","Tue Jun 23 19:00:13 UTC 2026","Tue Jun 23 19:00:14 UTC 2026","955","chromium","features/inputs.spec.ts","Inputs","","","rejects non-numeric keyboard input natively",""
"passed","Tue Jun 23 19:00:02 UTC 2026","Tue Jun 23 19:00:03 UTC 2026","1184","chromium","features/broken-images.spec.ts","Broken Images","","","the broken images respond with 404",""
"passed","Tue Jun 23 19:00:17 UTC 2026","Tue Jun 23 19:00:18 UTC 2026","1079","chromium","security/redirector.security.spec.ts","Redirect Link (/redirector)","","","following the redirect link stays on the same origin",""
"passed","Tue Jun 23 19:00:18 UTC 2026","Tue Jun 23 19:00:19 UTC 2026","1208","chromium","security/xss-reflection.security.spec.ts","reflected XSS probe on login form","","","encodes """"><svg onload=alert(1)>"" instead of executing it",""
"passed","Tue Jun 23 19:00:16 UTC 2026","Tue Jun 23 19:00:16 UTC 2026","352","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","rejects a wrong password with a generic 401",""
"passed","Tue Jun 23 19:00:04 UTC 2026","Tue Jun 23 19:00:04 UTC 2026","832","chromium","features/dropdown.spec.ts","Dropdown","","","selecting Option 1 updates the selected value",""
"passed","Tue Jun 23 19:00:00 UTC 2026","Tue Jun 23 19:00:01 UTC 2026","1268","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","removes one Delete button per click, leaving the rest",""
