"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 22 22:37:38 UTC 2026","Mon Jun 22 22:37:39 UTC 2026","472","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking Cancel on the confirm reports Cancel",""
"passed","Mon Jun 22 22:37:44 UTC 2026","Mon Jun 22 22:37:44 UTC 2026","40","chromium","security/headers.security.spec.ts","response security headers (/login)","","","does not yet send CSP, HSTS, or Referrer-Policy headers",""
"passed","Mon Jun 22 22:37:06 UTC 2026","Mon Jun 22 22:37:07 UTC 2026","478","chromium","features/checkboxes.spec.ts","Checkboxes","","","toggling checkbox 2 unchecks it",""
"passed","Mon Jun 22 22:37:40 UTC 2026","Mon Jun 22 22:37:40 UTC 2026","396","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/301 returns 301",""
"passed","Mon Jun 22 22:37:00 UTC 2026","Mon Jun 22 22:37:00 UTC 2026","39","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials redirect to /login",""
"passed","Mon Jun 22 22:37:40 UTC 2026","Mon Jun 22 22:37:41 UTC 2026","380","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/404 returns 404",""
"passed","Mon Jun 22 22:37:36 UTC 2026","Mon Jun 22 22:37:36 UTC 2026","441","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the left arrow after increasing decreases the value again",""
"passed","Mon Jun 22 22:37:00 UTC 2026","Mon Jun 22 22:37:01 UTC 2026","426","chromium","features/ab-test.spec.ts","A/B Testing","","","renders the explanatory paragraph regardless of variant",""
"passed","Mon Jun 22 22:37:40 UTC 2026","Mon Jun 22 22:37:40 UTC 2026","404","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/200 returns 200",""
"passed","Mon Jun 22 22:37:44 UTC 2026","Mon Jun 22 22:37:45 UTC 2026","433","chromium","security/redirector.security.spec.ts","Redirect Link (/redirector)","","","redirect link points to a relative, same-origin target",""
"passed","Mon Jun 22 22:37:03 UTC 2026","Mon Jun 22 22:37:04 UTC 2026","224","chromium","features/basic-auth.spec.ts","Basic Auth","","","is rejected with the wrong password",""
"passed","Mon Jun 22 22:37:41 UTC 2026","Mon Jun 22 22:37:42 UTC 2026","602","chromium","login.spec.ts","","","","logs in successfully with valid credentials",""
"passed","Mon Jun 22 22:37:00 UTC 2026","Mon Jun 22 22:37:00 UTC 2026","185","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials land on /secure with success flash message",""
"passed","Mon Jun 22 22:37:06 UTC 2026","Mon Jun 22 22:37:06 UTC 2026","481","chromium","features/checkboxes.spec.ts","Checkboxes","","","toggling checkbox 1 checks it",""
"passed","Mon Jun 22 22:37:22 UTC 2026","Mon Jun 22 22:37:28 UTC 2026","5795","chromium","features/dynamic-loading.spec.ts","Dynamic Loading","","","Example 1: hidden element is shown after the delay",""
"passed","Mon Jun 22 22:37:39 UTC 2026","Mon Jun 22 22:37:40 UTC 2026","468","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","dismissing the prompt reports a null entry",""
"passed","Mon Jun 22 22:37:45 UTC 2026","Mon Jun 22 22:37:46 UTC 2026","635","chromium","security/xss-reflection.security.spec.ts","reflected XSS probe on login form","","","encodes ""<script>alert(1)</script>"" instead of executing it",""
"passed","Mon Jun 22 22:36:59 UTC 2026","Mon Jun 22 22:37:00 UTC 2026","177","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","valid credentials redirect to /secure",""
"passed","Mon Jun 22 22:37:43 UTC 2026","Mon Jun 22 22:37:44 UTC 2026","625","chromium","security/cookies.security.spec.ts","session cookie flags after login","","","session cookie is HttpOnly and defaults to SameSite=Lax, but missing Secure",""
"passed","Mon Jun 22 22:37:35 UTC 2026","Mon Jun 22 22:37:35 UTC 2026","434","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","starts at 0",""
"passed","Mon Jun 22 22:37:01 UTC 2026","Mon Jun 22 22:37:01 UTC 2026","440","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","starts with no Delete buttons",""
"passed","Mon Jun 22 22:37:04 UTC 2026","Mon Jun 22 22:37:04 UTC 2026","187","chromium","features/basic-auth.spec.ts","Basic Auth","","","is rejected with no credentials",""
"passed","Mon Jun 22 22:37:37 UTC 2026","Mon Jun 22 22:37:37 UTC 2026","421","chromium","features/inputs.spec.ts","Inputs","","","rejects non-numeric keyboard input natively",""
"passed","Mon Jun 22 22:37:07 UTC 2026","Mon Jun 22 22:37:07 UTC 2026","420","chromium","features/dropdown.spec.ts","Dropdown","","","starts with the disabled placeholder option selected",""
"passed","Mon Jun 22 22:37:43 UTC 2026","Mon Jun 22 22:37:43 UTC 2026","217","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","rejects a wrong password with a generic 401",""
"passed","Mon Jun 22 22:37:05 UTC 2026","Mon Jun 22 22:37:06 UTC 2026","432","chromium","features/checkboxes.spec.ts","Checkboxes","","","checkbox 1 starts unchecked and checkbox 2 starts checked",""
"passed","Mon Jun 22 22:37:35 UTC 2026","Mon Jun 22 22:37:35 UTC 2026","422","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the right arrow increases the displayed value by one step",""
"passed","Mon Jun 22 22:37:34 UTC 2026","Mon Jun 22 22:37:35 UTC 2026","732","chromium","features/forgot-password.spec.ts","Forgot Password","","","submitting the form currently returns a 500 (known server-side bug)",""
"passed","Mon Jun 22 22:37:04 UTC 2026","Mon Jun 22 22:37:05 UTC 2026","442","chromium","features/broken-images.spec.ts","Broken Images","","","the first two images are broken and the third loads successfully",""
"passed","Mon Jun 22 22:37:02 UTC 2026","Mon Jun 22 22:37:02 UTC 2026","564","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","removes one Delete button per click, leaving the rest",""
"passed","Mon Jun 22 22:36:50 UTC 2026","Mon Jun 22 22:36:58 UTC 2026","8439","chromium","accessibility/login.a11y.spec.ts","login flow accessibility","","","login page meets accessibility threshold (Lighthouse)",""
"passed","Mon Jun 22 22:37:28 UTC 2026","Mon Jun 22 22:37:34 UTC 2026","5792","chromium","features/dynamic-loading.spec.ts","Dynamic Loading","","","Example 2: element is rendered from nothing after the delay",""
"passed","Mon Jun 22 22:37:45 UTC 2026","Mon Jun 22 22:37:45 UTC 2026","112","chromium","security/transport-and-error-pages.security.spec.ts","transport security","","","plain HTTP is served directly instead of being redirected to HTTPS",""
"passed","Mon Jun 22 22:37:37 UTC 2026","Mon Jun 22 22:37:38 UTC 2026","486","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking OK on the alert reports a successful click",""
"passed","Mon Jun 22 22:37:42 UTC 2026","Mon Jun 22 22:37:43 UTC 2026","499","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","grants access with correct credentials",""
"passed","Mon Jun 22 22:37:05 UTC 2026","Mon Jun 22 22:37:05 UTC 2026","599","chromium","features/broken-images.spec.ts","Broken Images","","","the broken images respond with 404",""
"passed","Mon Jun 22 22:37:02 UTC 2026","Mon Jun 22 22:37:03 UTC 2026","498","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","removing the last Delete button returns to the empty state",""
"passed","Mon Jun 22 22:37:00 UTC 2026","Mon Jun 22 22:37:00 UTC 2026","170","chromium","api/login.api.spec.ts","Login API (/authenticate)","","","invalid credentials land on /login with error flash message",""
"passed","Mon Jun 22 22:37:45 UTC 2026","Mon Jun 22 22:37:45 UTC 2026","41","chromium","security/transport-and-error-pages.security.spec.ts","status/error pages do not leak internals","","","the 500 status page returns a generic body with no stack trace or internal paths",""
"passed","Mon Jun 22 22:37:08 UTC 2026","Mon Jun 22 22:37:15 UTC 2026","7113","chromium","features/dynamic-controls.spec.ts","Dynamic Controls","","","Remove button removes the checkbox, Add brings it back",""
"passed","Mon Jun 22 22:37:36 UTC 2026","Mon Jun 22 22:37:37 UTC 2026","421","chromium","features/inputs.spec.ts","Inputs","","","accepts numeric entry",""
"passed","Mon Jun 22 22:37:43 UTC 2026","Mon Jun 22 22:37:43 UTC 2026","221","chromium","security/basic-auth.security.spec.ts","Basic Auth (/basic_auth)","","","rejects an unknown username with the same generic 401 (no enumeration)",""
"passed","Mon Jun 22 22:37:38 UTC 2026","Mon Jun 22 22:37:38 UTC 2026","495","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","clicking OK on the confirm reports Ok",""
"passed","Mon Jun 22 22:37:39 UTC 2026","Mon Jun 22 22:37:39 UTC 2026","482","chromium","features/javascript-alerts.spec.ts","JavaScript Alerts","","","entering text and clicking OK on the prompt echoes the entered text",""
"passed","Mon Jun 22 22:37:35 UTC 2026","Mon Jun 22 22:37:36 UTC 2026","487","chromium","features/horizontal-slider.spec.ts","Horizontal Slider","","","pressing the right arrow repeatedly moves toward the max value",""
"passed","Mon Jun 22 22:37:41 UTC 2026","Mon Jun 22 22:37:41 UTC 2026","389","chromium","features/status-codes.spec.ts","Status Codes","","","/status_codes/500 returns 500",""
"passed","Mon Jun 22 22:37:00 UTC 2026","Mon Jun 22 22:37:00 UTC 2026","437","chromium","features/ab-test.spec.ts","A/B Testing","","","serves one of the two known heading variants",""
"passed","Mon Jun 22 22:37:15 UTC 2026","Mon Jun 22 22:37:22 UTC 2026","7176","chromium","features/dynamic-controls.spec.ts","Dynamic Controls","","","Enable button enables the input, Disable disables it again",""
"passed","Mon Jun 22 22:37:45 UTC 2026","Mon Jun 22 22:37:45 UTC 2026","552","chromium","security/redirector.security.spec.ts","Redirect Link (/redirector)","","","following the redirect link stays on the same origin",""
"passed","Mon Jun 22 22:37:46 UTC 2026","Mon Jun 22 22:37:47 UTC 2026","630","chromium","security/xss-reflection.security.spec.ts","reflected XSS probe on login form","","","encodes """"><svg onload=alert(1)>"" instead of executing it",""
"passed","Mon Jun 22 22:37:04 UTC 2026","Mon Jun 22 22:37:04 UTC 2026","431","chromium","features/broken-images.spec.ts","Broken Images","","","renders exactly three images in the example section",""
"passed","Mon Jun 22 22:37:03 UTC 2026","Mon Jun 22 22:37:03 UTC 2026","481","chromium","features/basic-auth.spec.ts","Basic Auth","","","authenticates and renders the protected page with correct credentials",""
"passed","Mon Jun 22 22:37:08 UTC 2026","Mon Jun 22 22:37:08 UTC 2026","439","chromium","features/dropdown.spec.ts","Dropdown","","","selecting Option 2 updates the selected value",""
"passed","Mon Jun 22 22:37:07 UTC 2026","Mon Jun 22 22:37:08 UTC 2026","448","chromium","features/dropdown.spec.ts","Dropdown","","","selecting Option 1 updates the selected value",""
"passed","Mon Jun 22 22:37:01 UTC 2026","Mon Jun 22 22:37:02 UTC 2026","555","chromium","features/add-remove-elements.spec.ts","Add/Remove Elements","","","adds one Delete button per click of Add Element",""
"passed","Mon Jun 22 22:36:58 UTC 2026","Mon Jun 22 22:36:59 UTC 2026","1167","chromium","accessibility/login.a11y.spec.ts","login flow accessibility","","","secure page has no new accessibility violations (axe-core)",""
"passed","Mon Jun 22 22:37:42 UTC 2026","Mon Jun 22 22:37:42 UTC 2026","618","chromium","login.spec.ts","","","","shows an error with invalid credentials",""
"passed","Mon Jun 22 22:37:44 UTC 2026","Mon Jun 22 22:37:44 UTC 2026","39","chromium","security/headers.security.spec.ts","response security headers (/login)","","","sends clickjacking and MIME-sniffing protections",""
